	balanced_accuracy_score	accuracy_score	precision	recall	mcc	AUC	logloss	average_precision	dataset	name	metric_type	analysis_type	sample_frac
0	0.7542878448918717	0.8756756756756757	0.8987341772151899	0.9530201342281879	0.5702818579429301	0.8588739746457867	0.5112253596878006	0.9450004340484137	test	model_standard	all_data	standard	0.5
1	0.8795698924731183	0.8811827956989248	0.782258064516129	0.7827956989247312	0.01935483870967742				test	model_standard	per_tree_average	standard	0.5
2	1.0	1.0	1.0	1.0	1.0	1.0	0.003786825693220817	0.9999999999999997	train	model_standard	all_data	standard	0.5
3	1.0	1.0	0.8461538461538461	0.8461538461538461	0.016483516483516484				train	model_standard	per_tree_average	standard	0.5
4	0.7172557172557172	0.84	0.8372093023255814	0.972972972972973	0.5492758440590152	0.9299636174636174	0.5046770079980432	0.9757231898145353	val	model_standard	all_data	standard	0.5
5	0.7925070028011205	0.8309269162210339	0.7920401493930906	0.8588235294117647	0.1385930990198446				val	model_standard	per_tree_average	standard	0.5
0	0.8026659209545115	0.9027027027027027	0.9171974522292994	0.9664429530201343	0.6686657246956484	0.9211409395973154	0.38861689143797906	0.9725357479234046	test	model_standard	all_data	standard	1.0
1	0.8935483870967742	0.8935483870967742	0.7903225806451613	0.7870967741935484	0.03870967741935484				test	model_standard	per_tree_average	standard	1.0
2	1.0	1.0	1.0	1.0	1.0	1.0	0.0017970797767681982	1.0	train	model_standard	all_data	standard	1.0
3	1.0	1.0	0.8484848484848485	0.8484848484848485	0.030303030303030304				train	model_standard	per_tree_average	standard	1.0
4	0.7263513513513513	0.835	0.844311377245509	0.9527027027027027	0.5349712107897369	0.9298336798336798	0.5100642643091884	0.9766458338820507	val	model_standard	all_data	standard	1.0
5	0.8134307889822596	0.8277119938884645	0.8195758249823994	0.8520016339869281	0.23923648559453567				val	model_standard	per_tree_average	standard	1.0
