	Unnamed: 0.40	Unnamed: 0.39	Unnamed: 0.38	Unnamed: 0.37	Unnamed: 0.36	Unnamed: 0.35	Unnamed: 0.34	Unnamed: 0.33	Unnamed: 0.32	Unnamed: 0.31	Unnamed: 0.30	Unnamed: 0.29	Unnamed: 0.28	Unnamed: 0.27	Unnamed: 0.26	Unnamed: 0.25	Unnamed: 0.24	Unnamed: 0.23	Unnamed: 0.22	Unnamed: 0.21	Unnamed: 0.20	Unnamed: 0.19	Unnamed: 0.18	Unnamed: 0.17	Unnamed: 0.16	Unnamed: 0.15	Unnamed: 0.14	Unnamed: 0.13	Unnamed: 0.12	Unnamed: 0.11	Unnamed: 0.10	Unnamed: 0.9	Unnamed: 0.8	Unnamed: 0.7	Unnamed: 0.6	Unnamed: 0.5	Unnamed: 0.4	Unnamed: 0.3	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	AUC	logloss	average_precision	balanced_accuracy	accuracy_score	precision	recall	mcc	dataset	sample_fraction
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9579300364344562	0.1874490771102951	0.990956216188838	0.8449627802065893	0.9179201343819196	0.9485447772494624	0.953540765998904	0.6975413494212684	test	0.3
1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.9601680045586884	0.1826098088607406	0.991540239672589	0.8496256184738172	0.9188872769845512	0.9503887505314949	0.9527035255434452	0.7027765432232166	test	0.7
2	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0		0.9579300364344562	0.1874490771102951	0.990956216188838	0.8449627802065893	0.9179201343819196	0.9485447772494624	0.953540765998904	0.6975413494212684	test	0.3
3	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0			0.9601680045586884	0.1826098088607406	0.991540239672589	0.8496256184738172	0.9188872769845512	0.9503887505314949	0.9527035255434452	0.7027765432232166	test	0.7
4	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	0.0				0.960208139429806	0.1824949325206607	0.9915744342269478	0.8521542865931887	0.9192054159985747	0.9514354831347848	0.9519423978566643	0.7050789192027798	test	1.0
5	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	0.0					0.9579300364344562	0.1874490771102951	0.990956216188838	0.8449627802065893	0.9179201343819196	0.9485447772494624	0.953540765998904	0.6975413494212684	test	0.3
6	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	0.0						0.9601680045586884	0.1826098088607406	0.991540239672589	0.8496256184738172	0.9188872769845512	0.9503887505314949	0.9527035255434452	0.7027765432232166	test	0.7
7	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	0.0							0.960208139429806	0.1824949325206607	0.9915744342269478	0.8521542865931887	0.9192054159985747	0.9514354831347848	0.9519423978566643	0.7050789192027798	test	1.0
8	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0								0.9579300364344562	0.1874490771102951	0.990956216188838	0.8449627802065893	0.9179201343819196	0.9485447772494624	0.953540765998904	0.6975413494212684	test	0.3
9	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	0.0									0.9601680045586884	0.1826098088607406	0.991540239672589	0.8496256184738172	0.9188872769845512	0.9503887505314949	0.9527035255434452	0.7027765432232166	test	0.7
