	balanced_accuracy_score	accuracy_score	precision	recall	mcc	AUC	logloss	average_precision	dataset	name	metric_type	analysis_type	sample_frac
0	0.8026659209545115	0.9027027027027027	0.9171974522292994	0.9664429530201343	0.6686657246956484	0.9211409395973154	0.38861689143797906	0.9725357479234046	test	model_standard	all_data	standard	-1
1	0.8935483870967742	0.8935483870967742	0.7903225806451613	0.7870967741935484	0.03870967741935484				test	model_standard	per_tree_average	standard	-1
2	1.0	1.0	1.0	1.0	1.0	1.0	0.0017970797767681982	1.0	train	model_standard	all_data	standard	-1
3	1.0	1.0	0.8484848484848485	0.8484848484848485	0.030303030303030304				train	model_standard	per_tree_average	standard	-1
4	0.7263513513513513	0.835	0.844311377245509	0.9527027027027027	0.5349712107897369	0.9298336798336798	0.5100642643091884	0.9766458338820507	val	model_standard	all_data	standard	-1
5	0.8134307889822596	0.8277119938884645	0.8195758249823994	0.8520016339869281	0.23923648559453567				val	model_standard	per_tree_average	standard	-1
0	0.7087994034302759	0.8702702702702703	0.8787878787878788	0.9731543624161074	0.5324105636566795	0.8134787472035794	3.78300732796915	0.9201887092472559	test	raw_only_boot	all_data	feature_standard_fasttree_boot_support	-1
1	0.8516129032258064	0.853225806451613	0.782258064516129	0.7870967741935484	0.03225806451612903				test	raw_only_boot	per_tree_average	feature_standard_fasttree_boot_support	-1
2	0.647438058317883	0.8657074340527577	0.8805194805194805	0.9713467048710601	0.40926199260259877	0.802903252991741	4.203869505682885	0.9253663613057144	train	raw_only_boot	all_data	feature_standard_fasttree_boot_support	-1
3	0.8588154269972452	0.8592745638200184	0.8172635445362717	0.8230027548209367	0.01652892561983471				train	raw_only_boot	per_tree_average	feature_standard_fasttree_boot_support	-1
0	0.705909768829232	0.8486486486486486	0.8805031446540881	0.9395973154362416	0.469100715258988	0.7935309470544369	0.4731655366462384	0.9270743384539897	test	only_boot	all_data	feature_standard_fasttree_boot_support	-1
1	0.8344086021505377	0.8360215053763441	0.7629032258064516	0.7634408602150539	0.03225806451612903				test	only_boot	per_tree_average	feature_standard_fasttree_boot_support	-1
2	0.7534341816956008	0.894484412470024	0.9155313351498637	0.9627507163323782	0.5764270075205192	0.908288386988033	0.25249336385425597	0.974129534753761	train	only_boot	all_data	feature_standard_fasttree_boot_support	-1
3	0.8891184573002755	0.8895775941230487	0.8158861340679522	0.8161157024793388	0.02203856749311295				train	only_boot	per_tree_average	feature_standard_fasttree_boot_support	-1
0	0.8131991051454138	0.9027027027027027	0.9225806451612903	0.959731543624161	0.6727727869941114	0.917785234899329	0.41437814369869436	0.9743216457381418	test	inc_boot	all_data	feature_standard_fasttree_boot_support	-1
1	0.8978494623655914	0.8978494623655914	0.7903225806451613	0.7849462365591398	0.03870967741935484				test	inc_boot	per_tree_average	feature_standard_fasttree_boot_support	-1
2	1.0	1.0	1.0	1.0	1.0	1.0	0.0016311186753071116	1.0	train	inc_boot	all_data	feature_standard_fasttree_boot_support	-1
3	1.0	1.0	0.8484848484848485	0.8484848484848485	0.030303030303030304				train	inc_boot	per_tree_average	feature_standard_fasttree_boot_support	-1
0	0.7087994034302759	0.8702702702702703	0.8787878787878788	0.9731543624161074	0.5324105636566795	0.8134787472035794	3.78300732796915	0.9201887092472559	test	raw_only_boot	all_data	bootstrap_support	-1
1	0.8516129032258064	0.853225806451613	0.782258064516129	0.7870967741935484	0.03225806451612903				test	raw_only_boot	per_tree_average	bootstrap_support	-1
2	0.647438058317883	0.8657074340527577	0.8805194805194805	0.9713467048710601	0.40926199260259877	0.802903252991741	4.203869505682885	0.9253663613057144	train	raw_only_boot	all_data	bootstrap_support	-1
3	0.8588154269972452	0.8592745638200184	0.8172635445362717	0.8230027548209367	0.01652892561983471				train	raw_only_boot	per_tree_average	bootstrap_support	-1
0	0.705909768829232	0.8486486486486486	0.8805031446540881	0.9395973154362416	0.469100715258988	0.7935309470544369	0.4731655366462384	0.9270743384539897	test	only_boot	all_data	bootstrap_support	-1
1	0.8344086021505377	0.8360215053763441	0.7629032258064516	0.7634408602150539	0.03225806451612903				test	only_boot	per_tree_average	bootstrap_support	-1
2	0.7534341816956008	0.894484412470024	0.9155313351498637	0.9627507163323782	0.5764270075205192	0.908288386988033	0.25249336385425597	0.974129534753761	train	only_boot	all_data	bootstrap_support	-1
3	0.8891184573002755	0.8895775941230487	0.8158861340679522	0.8161157024793388	0.02203856749311295				train	only_boot	per_tree_average	bootstrap_support	-1
0	0.8131991051454138	0.9027027027027027	0.9225806451612903	0.959731543624161	0.6727727869941114	0.917785234899329	0.41437814369869436	0.9743216457381418	test	inc_boot	all_data	bootstrap_support	-1
1	0.8978494623655914	0.8978494623655914	0.7903225806451613	0.7849462365591398	0.03870967741935484				test	inc_boot	per_tree_average	bootstrap_support	-1
2	1.0	1.0	1.0	1.0	1.0	1.0	0.0016311186753071116	1.0	train	inc_boot	all_data	bootstrap_support	-1
3	1.0	1.0	0.8484848484848485	0.8484848484848485	0.030303030303030304				train	inc_boot	per_tree_average	bootstrap_support	-1
