	Gini-importance	mcc	balanced_accuracy
feature_msa_entropy_median	0.0	0.0	0.0
feature_msa_entropy_min	4.623280048370361	0.0	0.0
feature_msa_entropy_pct_25	152.24481987953186	0.0	0.0
feature_msa_entropy_pct_75	529.3122115135193	0.0	0.0
feature_msa_entropy_mean	631.7571787834167	0.0	0.0
feature_partition_size	763.1210854053497	0.01343645860049988	0.01343645860049988
feature_min_neighbor_brlen	820.8715180158615	0.0	0.0
feature_msa_entropy_var	868.8140758275986	-0.023378371542881606	-0.023378371542881606
feature_partition_size_ratio	928.0008534193039	0.0	0.0
feature_msa_entropy_max	1014.0736947059631	0.06829686692730139	0.06829686692730139
feature_msa_n_seq	1179.5306302309036	-0.020183984438203986	-0.020183984438203986
feature_divergence_ratio	1192.3222569227219	0.0	0.0
feature_msa_constant_sites_pct	1215.76054084301	0.02240112308222692	0.02240112308222692
feature_partition_divergence	1326.7110307216644	0.0	0.0
feature_msa_n_loci	1388.481233716011	0.017145134340894375	0.017145134340894375
feature_partition_branch_vs_mean	1562.3793346881866	0.33937281246036494	0.33937281246036494
feature_mean_parsimony_trees_neighbors	1577.3816143274307	0.21678091413982753	0.21678091413982753
feature_msa_pypythia_msa_difficulty	1647.7087556123734	0.09794341458539688	0.09794341458539688
feature_msa_n_unique_sites	1772.5586574077606	0.0724708878208379	0.0724708878208379
feature_mean_neighbor_brlen	2351.7667751312256	0.1770943885799981	0.1770943885799981
feature_mean_parsimony_trees_neighbors_binary	3525.700098633766	0.2519392731888669	0.2519392731888669
feature_mean_parsimony_trees	6079.736727237701	0.49513015943010585	0.49513015943010585
feature_partition_branch	10394.826715946198	0.6165685915303525	0.6165685915303525
feature_standard_fasttree_boot_support	12866.978070497513	0.461295381282422	0.461295381282422
feature_mean_parsimony_trees_binary	72828.27510344982	0.5887268187437206	0.5887268187437206
