	Gini-importance	mcc	balanced_accuracy
feature_msa_entropy_pct_25	0.0	0.0	0.5
feature_max_ll_diff_norm	0.0	0.3345197008786082	0.6689970171513795
feature_msa_entropy_median	0.0	0.09229807797434031	0.5287099179716629
feature_msa_entropy_min	0.0	0.0	0.5
feature_column_variance_norm	5.872150069823931	0.26858211470180704	0.6053318419090231
feature_min_neighbor_brlen	8.834866680599129	0.0	0.5
feature_partition_branch_vs_mean	10.550997104182086	0.13666789022437084	0.5535980611483967
feature_msa_entropy_pct_75	12.008928568801046	0.09688024983542841	0.5248881431767338
feature_msa_n_loci	12.939439771876819	0.01423192736124126	0.5047539149888143
feature_msa_entropy_var	14.953327120039681	0.07924830948544749	0.5215324384787472
feature_divergence_ratio	17.547027348400675	-0.05138632616220442	0.49328859060402686
feature_partition_size	17.814218451394126	0.0	0.5
feature_msa_constant_sites_pct	21.07596289675268	-0.06585171713104948	0.4803318419090231
feature_msa_entropy_mean	21.95970923317052	0.09229807797434031	0.5287099179716629
feature_column_variance	23.61064913737464	0.23338238391563051	0.6024422073079791
feature_msa_entropy_max	24.768398079375448	0.004753665746934638	0.5018642803877703
feature_partition_divergence	25.214102894913648	0.1530948513345488	0.5244220730797912
feature_mean_neighbor_brlen	27.84546382718205	0.06898281239286859	0.5258202833706189
feature_mean_parsimony_trees_neighbors	33.377513361028754	0.2041420524295475	0.5703765846383296
feature_min_ll_diff_norm	34.169217440472394	0.3345197008786082	0.6689970171513795
feature_mean_parsimony_trees_neighbors_binary	37.976027759493284	0.23879499794439438	0.5770879940343028
feature_msa_n_unique_sites	48.07201146492489	0.02291125898968921	0.5085756897837435
feature_msa_n_seq	52.67486069586616	0.015781048642123742	0.5042878448918717
feature_msa_pypythia_msa_difficulty	61.608851464438814	0.11552321824395177	0.5507084265473527
feature_partition_size_ratio	77.9856593282278	0.11468187146048467	0.5210663683818046
bootstrap_support	87.61968064758034	0.469100715258988	0.705909768829232
feature_mean_parsimony_trees	88.23469016373717	0.35124154958730924	0.6541759880686056
feature_partition_branch	203.9730706410573	0.5596564269971538	0.7332214765100671
feature_max_ll_diff	240.83731175589583	0.24503125323800132	0.6057979120059658
feature_mean_parsimony_trees_binary	274.19648911386236	0.5694035866186586	0.7719985085756897
feature_min_ll_diff	458.896722698038	0.23872705418629292	0.6096196868008948
