	Gini-importance	mcc	balanced_accuracy
feature_msa_entropy_median	0.0	0.0	0.0
feature_msa_entropy_min	0.0	0.0	0.0
feature_msa_entropy_pct_25	86.71363067626953	0.0	0.0
feature_msa_entropy_mean	717.7335126399994	0.0	0.0
feature_msa_entropy_var	774.216771364212	-0.023378371542881606	-0.023378371542881606
feature_msa_entropy_max	805.1274394989014	0.06829686692730139	0.06829686692730139
feature_msa_entropy_pct_75	822.7481770515442	0.0	0.0
feature_partition_size	842.6093636751175	0.01343645860049988	0.01343645860049988
feature_min_neighbor_brlen	866.8137805461884	0.0	0.0
feature_partition_size_ratio	877.0438319444656	0.0	0.0
feature_msa_n_seq	1283.8572857379913	-0.020183984438203986	-0.020183984438203986
feature_divergence_ratio	1400.2911932468414	0.0	0.0
feature_mean_parsimony_trees_neighbors	1420.9878301620483	0.21678091413982753	0.21678091413982753
feature_msa_constant_sites_pct	1459.807317018509	0.02240112308222692	0.02240112308222692
feature_partition_divergence	1656.417662858963	0.0	0.0
feature_msa_pypythia_msa_difficulty	1788.8346619606018	0.09794341458539688	0.09794341458539688
feature_msa_n_loci	1965.427016377449	0.017145134340894375	0.017145134340894375
feature_partition_branch_vs_mean	2387.8634402751923	0.33937281246036494	0.33937281246036494
feature_msa_n_unique_sites	2737.85480594635	0.0724708878208379	0.0724708878208379
feature_mean_parsimony_trees_neighbors_binary	3513.137556552887	0.2519392731888669	0.2519392731888669
feature_mean_neighbor_brlen	4083.450909972191	0.1770943885799981	0.1770943885799981
feature_mean_parsimony_trees	5828.749131798744	0.49513015943010585	0.49513015943010585
feature_partition_branch	14040.191337823868	0.6165685915303525	0.6165685915303525
feature_mean_parsimony_trees_binary	75498.61475038528	0.5887268187437206	0.5887268187437206
