	Gini-importance	mcc	balanced_accuracy
feature_msa_entropy_median	0.0	0.031482283689748966	0.031482283689748966
feature_max_ll_diff_norm	0.0	0.3482578217784343	0.3482578217784343
feature_msa_entropy_min	593.8540754318237	-0.012958213206798784	-0.012958213206798784
feature_column_variance	620.0547289848328	0.3278912987406878	0.3278912987406878
feature_column_variance_norm	824.3089570999146	0.3310776981871859	0.3310776981871859
feature_msa_entropy_pct_25	1024.2090735435486	0.020861404080685753	0.020861404080685753
feature_msa_entropy_mean	1284.713655948639	0.031482283689748966	0.031482283689748966
feature_msa_entropy_var	1425.8482930660248	0.0	0.0
feature_msa_entropy_pct_75	1575.3814392089844	0.0	0.0
feature_mean_parsimony_trees_neighbors	1578.5196313858032	0.2656189004051002	0.2656189004051002
feature_partition_size_ratio	1620.6994545459747	0.0	0.0
feature_msa_n_unique_sites	2042.8542580604553	0.0	0.0
feature_partition_branch_vs_mean	2163.7336990833282	0.37523855386670113	0.37523855386670113
feature_msa_entropy_max	2312.8043761253357	0.0471354229603621	0.0471354229603621
feature_msa_constant_sites_pct	2363.1630132198334	0.002743681231482402	0.002743681231482402
feature_msa_pypythia_msa_difficulty	2459.4280631542206	0.09096499161489081	0.09096499161489081
feature_msa_n_seq	2469.954085826874	0.0	0.0
feature_msa_n_loci	2515.443341255188	0.0	0.0
feature_divergence_ratio	2657.07822060585	0.0	0.0
feature_partition_size	2858.608710050583	0.004474536449693408	0.004474536449693408
feature_min_ll_diff_norm	2881.525020122528	0.3482578217784343	0.3482578217784343
feature_partition_branch	3651.026311635971	0.5981463039458229	0.5981463039458229
feature_partition_divergence	5735.85017490387	0.0	0.0
feature_mean_neighbor_brlen	5961.062311172485	0.19398784866197086	0.19398784866197086
feature_mean_parsimony_trees	10585.684381008148	0.5087678080430513	0.5087678080430513
feature_mean_parsimony_trees_neighbors_binary	19269.824785470963	0.2678344845857863	0.2678344845857863
feature_max_ll_diff	20379.353267669678	0.3397450200328001	0.3397450200328001
feature_min_neighbor_brlen	21289.001346111298	0.0	0.0
feature_min_ll_diff	76032.55462026596	0.31828189966390824	0.31828189966390824
feature_mean_parsimony_trees_binary	350071.62172698975	0.5830686397152318	0.5830686397152318
