	Gini-importance	mcc	balanced_accuracy
feature_msa_entropy_min	0.0	0.0	0.0
feature_msa_entropy_median	0.0	0.052153811779698495	0.052153811779698495
feature_msa_entropy_pct_25	128.35369968414307	-0.05142613855107437	-0.05142613855107437
feature_msa_entropy_mean	343.946431517601	0.052153811779698495	0.052153811779698495
feature_msa_entropy_var	495.6707159280777	0.134466940168163	0.134466940168163
feature_msa_entropy_pct_75	504.07892775535583	0.2082874314009127	0.2082874314009127
feature_msa_constant_sites_pct	575.9321572780609	0.0921160661603612	0.0921160661603612
feature_mean_parsimony_trees_neighbors	593.1583981513977	0.44941208323822884	0.44941208323822884
feature_msa_entropy_max	719.4368526935577	0.07334563040699921	0.07334563040699921
feature_partition_size	728.1532683372498	0.00698374937225868	0.00698374937225868
feature_partition_size_ratio	1209.9325177669525	0.0	0.0
feature_min_neighbor_brlen	1288.537806391716	0.5966524323633297	0.5966524323633297
feature_mean_parsimony_trees_neighbors_binary	1344.3776178359985	0.44400347532754536	0.44400347532754536
feature_msa_n_unique_sites	1359.2945222854614	0.13358422999921074	0.13358422999921074
feature_msa_n_loci	1455.786413192749	-0.018709050296922655	-0.018709050296922655
feature_partition_divergence	1617.1939417123795	0.5966524323633297	0.5966524323633297
feature_msa_pypythia_msa_difficulty	1632.3702342510223	0.3125858994643025	0.3125858994643025
feature_msa_n_seq	1751.0129009485245	0.04307872592804636	0.04307872592804636
feature_divergence_ratio	1904.2318501472473	0.5966524323633297	0.5966524323633297
feature_mean_neighbor_brlen	2366.939485311508	0.5502706278842274	0.5502706278842274
feature_mean_parsimony_trees	2458.258568048477	0.655952156836062	0.655952156836062
feature_mean_parsimony_trees_binary	7645.622005701065	0.7299170393999297	0.7299170393999297
feature_partition_branch	54114.149775862694	0.787475829018332	0.787475829018332
bootstrap_support	67546.01058983803	0.7681336880620309	0.7681336880620309
feature_partition_branch_vs_mean	70220.04245042801	0.7874809615969272	0.7874809615969272
