	Gini-importance	mcc	balanced_accuracy
feature_msa_entropy_min	0.0	0.0	0.0
feature_msa_entropy_median	0.0	0.052153811779698495	0.052153811779698495
feature_msa_entropy_pct_25	152.89461994171143	-0.05142613855107437	-0.05142613855107437
feature_msa_entropy_mean	553.5059208869934	0.052153811779698495	0.052153811779698495
feature_msa_constant_sites_pct	669.4530916213989	0.0921160661603612	0.0921160661603612
feature_partition_size	721.8416311740875	0.00698374937225868	0.00698374937225868
feature_msa_entropy_var	728.2891110181808	0.134466940168163	0.134466940168163
feature_msa_entropy_pct_75	806.4446283578873	0.2082874314009127	0.2082874314009127
feature_partition_size_ratio	823.1875805854797	0.0	0.0
feature_mean_parsimony_trees_neighbors	909.5417401790619	0.44941208323822884	0.44941208323822884
feature_msa_n_loci	928.2289100885391	-0.018709050296922655	-0.018709050296922655
feature_msa_n_seq	940.0408041477203	0.04307872592804636	0.04307872592804636
feature_msa_entropy_max	1171.1454739570618	0.07334563040699921	0.07334563040699921
feature_msa_pypythia_msa_difficulty	1385.9769535064697	0.3125858994643025	0.3125858994643025
feature_msa_n_unique_sites	1399.2572786808014	0.13358422999921074	0.13358422999921074
feature_mean_parsimony_trees	1928.2118517160416	0.655952156836062	0.655952156836062
feature_partition_divergence	1963.9875502586365	0.5966524323633297	0.5966524323633297
feature_mean_neighbor_brlen	2225.1373682022095	0.5502706278842274	0.5502706278842274
feature_divergence_ratio	2693.4127596616745	0.5966524323633297	0.5966524323633297
feature_mean_parsimony_trees_neighbors_binary	3826.0685861110687	0.44400347532754536	0.44400347532754536
feature_min_neighbor_brlen	15172.03750884533	0.5966524323633297	0.5966524323633297
feature_aBayes_iqtree_support	21760.566368818283	0.4573231838021691	0.4573231838021691
feature_mean_parsimony_trees_binary	24462.971048355103	0.7299170393999297	0.7299170393999297
feature_partition_branch	56264.89601397514	0.787475829018332	0.787475829018332
feature_partition_branch_vs_mean	81898.24660086632	0.7874809615969272	0.7874809615969272
