	Gini-importance	mcc	balanced_accuracy
feature_msa_entropy_min	0.0	0.0	0.0
feature_msa_entropy_median	0.0	0.052153811779698495	0.052153811779698495
feature_msa_entropy_pct_25	237.90704989433289	-0.05142613855107437	-0.05142613855107437
feature_msa_entropy_mean	553.4824316501617	0.052153811779698495	0.052153811779698495
feature_msa_constant_sites_pct	580.2969391345978	0.0921160661603612	0.0921160661603612
feature_partition_size	626.1548192501068	0.00698374937225868	0.00698374937225868
feature_msa_entropy_pct_75	686.3498463630676	0.2082874314009127	0.2082874314009127
feature_msa_entropy_var	780.2507603168488	0.134466940168163	0.134466940168163
feature_mean_parsimony_trees_neighbors	817.1661484241486	0.44941208323822884	0.44941208323822884
feature_partition_size_ratio	840.6624410152435	0.0	0.0
feature_msa_n_seq	903.7218096256256	0.04307872592804636	0.04307872592804636
feature_msa_n_loci	960.888302564621	-0.018709050296922655	-0.018709050296922655
feature_msa_entropy_max	1136.3948621749878	0.07334563040699921	0.07334563040699921
feature_msa_pypythia_msa_difficulty	1261.2130168676376	0.3125858994643025	0.3125858994643025
feature_msa_n_unique_sites	1509.5360543727875	0.13358422999921074	0.13358422999921074
feature_mean_parsimony_trees	1912.326560497284	0.655952156836062	0.655952156836062
feature_partition_divergence	1953.3596719503403	0.5966524323633297	0.5966524323633297
feature_mean_neighbor_brlen	1962.0535464286804	0.5502706278842274	0.5502706278842274
feature_divergence_ratio	3385.8900442123413	0.5966524323633297	0.5966524323633297
feature_mean_parsimony_trees_neighbors_binary	3879.74507021904	0.44400347532754536	0.44400347532754536
feature_min_neighbor_brlen	14313.717727541924	0.5966524323633297	0.5966524323633297
feature_mean_parsimony_trees_binary	21290.94954741001	0.7299170393999297	0.7299170393999297
feature_aLRT_iqtree_support	22235.480760335922	0.4596343648747231	0.4596343648747231
feature_partition_branch	60433.489070892334	0.787475829018332	0.787475829018332
feature_partition_branch_vs_mean	81054.18296468258	0.7874809615969272	0.7874809615969272
