	Gini-importance	mcc	balanced_accuracy
feature_parsimony_trees_median	0.0	0.49291404663050153	0.49291404663050153
feature_parsimony_trees_var	0.0	0.0	0.0
feature_parsimony_trees_pct_25	0.0	0.49291404663050153	0.49291404663050153
feature_parsimony_trees_pct_75	0.0	0.49291404663050153	0.49291404663050153
feature_parsimony_trees_min	0.0	0.49291404663050153	0.49291404663050153
feature_parsimony_trees_max	0.0	0.49291404663050153	0.49291404663050153
feature_parsimony_trees_binary_median	0.0	0.5767354509899312	0.5767354509899312
feature_msa_entropy_median	0.0	0.06962408060964463	0.06962408060964463
feature_parsimony_trees_binary_pct_25	0.0	0.5840214997404961	0.5840214997404961
feature_parsimony_trees_binary_min	0.0	0.0	0.0
feature_parsimony_trees_binary_max	0.0	0.2755008277397043	0.2755008277397043
feature_parsimony_trees_binary_pct_75	5.16795015335083	0.5638806899786293	0.5638806899786293
feature_msa_entropy_min	11.152400016784668	0.0	0.0
feature_msa_entropy_pct_25	637.0081534385681	0.0015093136443958587	0.0015093136443958587
feature_msa_entropy_pct_75	1433.5750148296356	0.0	0.0
feature_msa_entropy_mean	1518.4118704795837	0.06962408060964463	0.06962408060964463
feature_msa_entropy_max	1870.5532593727112	0.05244112119268272	0.05244112119268272
feature_msa_entropy_var	1890.275140285492	0.08076358017782431	0.08076358017782431
feature_msa_n_seq	2048.462865591049	0.0624534047030667	0.0624534047030667
feature_partition_size_ratio	2129.965323448181	0.0	0.0
feature_msa_constant_sites_pct	2199.91894197464	0.06947809862452806	0.06947809862452806
feature_partition_size	2763.706118583679	0.005879407675194598	0.005879407675194598
feature_msa_n_loci	2854.9853522777557	0.0	0.0
feature_msa_pypythia_msa_difficulty	3093.3853480815887	0.1195538322504408	0.1195538322504408
feature_divergence_ratio	3264.998005628586	0.0	0.0
feature_parsimony_trees_binary_var	3496.7177731990814	0.11785220194865387	0.11785220194865387
feature_msa_n_unique_sites	3797.3604769706726	0.0	0.0
feature_partition_branch_vs_mean	3893.3594369888306	0.35080962345522276	0.35080962345522276
feature_partition_divergence	5418.786838769913	0.0	0.0
feature_parsimony_trees_mean	7418.916491508484	0.49291404663050153	0.49291404663050153
feature_partition_branch	28515.689426898956	0.5982877770365347	0.5982877770365347
feature_standard_ete_support	37164.010434150696	0.4863687846651746	0.4863687846651746
feature_parsimony_trees_binary_mean	229768.66105604172	0.5767354509899312	0.5767354509899312
