	balanced_accuracy_score	accuracy_score	precision	recall	mcc	AUC	logloss	average_precision	dataset	name	metric_type	analysis_type	sample_frac
0	0.9446932935174817	0.9495412844036697	0.9819277108433735	0.9532163742690059	0.8581868268415423	0.9767326116710215	0.2525821018663799	0.9929256017936589	test	model_standard	all_data	standard	0.5
1	0.9480392156862746	0.9480392156862746	0.7764705882352941	0.7686274509803923	0.06470588235294118				test	model_standard	per_tree_average	standard	0.5
2	1.0	1.0	1.0	1.0	1.0	1.0	0.001504716274302231	1.0	train	model_standard	all_data	standard	0.5
3	1.0	1.0	0.7626262626262627	0.7626262626262627	0.050505050505050504				train	model_standard	per_tree_average	standard	0.5
4	0.8653112251612054	0.905	0.9276315789473685	0.9463087248322147	0.7456393557343287	0.9586787735228319	0.40065630115743206	0.9856020749029559	val	model_standard	all_data	standard	0.5
5	0.8831349206349206	0.9082399626517272	0.8891203703703704	0.8677910052910053	0.3394363361903418				val	model_standard	per_tree_average	standard	0.5
0	0.9127783999004604	0.9357798165137615	0.9644970414201184	0.9532163742690059	0.8133033304316922	0.979718800547468	0.24144281060822118	0.9944191469567314	test	model_standard	all_data	standard	1.0
1	0.9333333333333335	0.9333333333333335	0.7735294117647059	0.7686274509803923	0.058823529411764705				test	model_standard	per_tree_average	standard	1.0
2	1.0	1.0	1.0	1.0	1.0	1.0	0.0012453222090233417	1.0	train	model_standard	all_data	standard	1.0
3	1.0	1.0	0.8025316455696202	0.8025316455696202	0.05822784810126582				train	model_standard	per_tree_average	standard	1.0
4	0.8328069482826688	0.895	0.9050632911392406	0.959731543624161	0.7122745287767241	0.95499407816818	0.4096136061775998	0.9837642818710381	val	model_standard	all_data	standard	1.0
5	0.8715608465608464	0.8978232959850606	0.8715277777777778	0.8787037037037037	0.3028364620746007				val	model_standard	per_tree_average	standard	1.0
