	grouping_col	Balanced_Accuracy	grouping_col_name	dataset	name	sample_frac
0	(0.00421, 0.365]	0.7	msa_difficulty_group	test	model_standard	-1
1	(0.365, 0.555]	0.90625	msa_difficulty_group	test	model_standard	-1
2	(0.555, 0.612]	0.9226190476190477	msa_difficulty_group	test	model_standard	-1
3	(0.612, 0.766]	0.9146505376344086	msa_difficulty_group	test	model_standard	-1
0	(19.999, 69.0]	0.9226305609284333	n_seq_group	test	model_standard	-1
1	(69.0, 120.0]	0.9044715447154472	n_seq_group	test	model_standard	-1
2	(120.0, 183.25]	0.9379699248120301	n_seq_group	test	model_standard	-1
3	(183.25, 456.0]	0.8777777777777778	n_seq_group	test	model_standard	-1
0	(105.999, 796.0]	0.9422764227642276	feature_msa_n_loci	test	model_standard	-1
1	(796.0, 1226.0]	0.9365384615384615	feature_msa_n_loci	test	model_standard	-1
2	(1226.0, 2070.75]	0.9226190476190477	feature_msa_n_loci	test	model_standard	-1
3	(2070.75, 7690.0]	0.7752976190476191	feature_msa_n_loci	test	model_standard	-1
0	(0.018, 0.411]	1.0	msa_difficulty_group	train	model_standard	-1
1	(0.411, 0.554]	1.0	msa_difficulty_group	train	model_standard	-1
2	(0.554, 0.612]	1.0	msa_difficulty_group	train	model_standard	-1
3	(0.612, 0.868]	1.0	msa_difficulty_group	train	model_standard	-1
0	(13.999, 65.5]	1.0	n_seq_group	train	model_standard	-1
1	(65.5, 102.0]	1.0	n_seq_group	train	model_standard	-1
2	(102.0, 181.25]	1.0	n_seq_group	train	model_standard	-1
3	(181.25, 494.0]	1.0	n_seq_group	train	model_standard	-1
0	(107.999, 673.75]	1.0	feature_msa_n_loci	train	model_standard	-1
1	(673.75, 1324.0]	1.0	feature_msa_n_loci	train	model_standard	-1
2	(1324.0, 2324.75]	1.0	feature_msa_n_loci	train	model_standard	-1
3	(2324.75, 9291.0]	1.0	feature_msa_n_loci	train	model_standard	-1
0	(0.0481, 0.363]	0.8245341614906833	msa_difficulty_group	val	model_standard	-1
1	(0.363, 0.537]	0.7857142857142857	msa_difficulty_group	val	model_standard	-1
2	(0.537, 0.581]	0.8333333333333333	msa_difficulty_group	val	model_standard	-1
3	(0.581, 0.715]	0.8430127041742287	msa_difficulty_group	val	model_standard	-1
0	(15.999, 79.0]	0.8270509977827052	n_seq_group	val	model_standard	-1
1	(79.0, 155.0]	0.9076923076923077	n_seq_group	val	model_standard	-1
2	(155.0, 233.0]	0.8	n_seq_group	val	model_standard	-1
3	(233.0, 302.0]	0.7807692307692308	n_seq_group	val	model_standard	-1
0	(69.999, 728.0]	0.7464430894308942	feature_msa_n_loci	val	model_standard	-1
1	(728.0, 960.0]	0.8677419354838709	feature_msa_n_loci	val	model_standard	-1
2	(960.0, 1744.0]	0.9544642857142858	feature_msa_n_loci	val	model_standard	-1
3	(1744.0, 6910.0]	0.8214285714285714	feature_msa_n_loci	val	model_standard	-1
