	Gini-importance	mcc	balanced_accuracy
feature_msa_entropy_median	0.0	0.052153811779698495	0.052153811779698495
feature_msa_entropy_min	0.0	0.0	0.0
feature_msa_entropy_pct_25	150.8739297389984	-0.05142613855107437	-0.05142613855107437
feature_msa_entropy_mean	275.0931794643402	0.052153811779698495	0.052153811779698495
feature_msa_entropy_pct_75	391.7499396800995	0.2082874314009127	0.2082874314009127
feature_msa_entropy_var	513.5782887935638	0.134466940168163	0.134466940168163
feature_mean_parsimony_trees_neighbors	597.4862287044525	0.44941208323822884	0.44941208323822884
feature_partition_size	628.9649586677551	0.00698374937225868	0.00698374937225868
feature_msa_entropy_max	677.4378499984741	0.07334563040699921	0.07334563040699921
feature_msa_constant_sites_pct	758.2879390716553	0.0921160661603612	0.0921160661603612
feature_partition_size_ratio	1159.317310810089	0.0	0.0
feature_mean_parsimony_trees_neighbors_binary	1211.0141236782074	0.44400347532754536	0.44400347532754536
feature_min_neighbor_brlen	1364.8838738203049	0.5966524323633297	0.5966524323633297
feature_msa_n_unique_sites	1444.9109914302826	0.13358422999921074	0.13358422999921074
feature_msa_n_loci	1490.5646872520447	-0.018709050296922655	-0.018709050296922655
feature_msa_pypythia_msa_difficulty	1550.6146540641785	0.3125858994643025	0.3125858994643025
feature_partition_divergence	1552.573044538498	0.5966524323633297	0.5966524323633297
feature_msa_n_seq	1726.2689049243927	0.04307872592804636	0.04307872592804636
feature_divergence_ratio	1814.4180713891983	0.5966524323633297	0.5966524323633297
feature_mean_parsimony_trees	2244.7020580768585	0.655952156836062	0.655952156836062
feature_mean_neighbor_brlen	2495.0623623132706	0.5502706278842274	0.5502706278842274
feature_mean_parsimony_trees_binary	8207.044696450233	0.7299170393999297	0.7299170393999297
feature_partition_branch	54235.347119927406	0.787475829018332	0.787475829018332
bootstrap_support	67224.40648460388	0.7681336880620309	0.7681336880620309
feature_partition_branch_vs_mean	70104.1980689764	0.7874809615969272	0.7874809615969272
