	Gini-importance	mcc	balanced_accuracy
feature_msa_entropy_median	0.0	0.052153811779698495	0.052153811779698495
feature_msa_entropy_min	4.380630016326904	0.0	0.0
feature_msa_entropy_pct_25	160.03385162353516	-0.05142613855107437	-0.05142613855107437
feature_msa_entropy_mean	534.6513578891754	0.052153811779698495	0.052153811779698495
feature_msa_constant_sites_pct	597.9940106868744	0.0921160661603612	0.0921160661603612
feature_partition_size	618.311262845993	0.00698374937225868	0.00698374937225868
feature_mean_parsimony_trees_neighbors	769.2889304161072	0.44941208323822884	0.44941208323822884
feature_partition_size_ratio	790.9196109771729	0.0	0.0
feature_msa_entropy_pct_75	794.1412281990051	0.2082874314009127	0.2082874314009127
feature_msa_entropy_var	869.1115491390228	0.134466940168163	0.134466940168163
feature_msa_n_seq	986.9466228485107	0.04307872592804636	0.04307872592804636
feature_msa_n_loci	1037.123660326004	-0.018709050296922655	-0.018709050296922655
feature_msa_entropy_max	1077.9352414608002	0.07334563040699921	0.07334563040699921
feature_msa_n_unique_sites	1233.367022395134	0.13358422999921074	0.13358422999921074
feature_msa_pypythia_msa_difficulty	1303.9222691059113	0.3125858994643025	0.3125858994643025
feature_partition_divergence	1999.479702949524	0.5966524323633297	0.5966524323633297
feature_mean_parsimony_trees	2047.27867603302	0.655952156836062	0.655952156836062
feature_mean_neighbor_brlen	2073.3299765586853	0.5502706278842274	0.5502706278842274
feature_divergence_ratio	3478.836643099785	0.5966524323633297	0.5966524323633297
feature_mean_parsimony_trees_neighbors_binary	3937.6848232746124	0.44400347532754536	0.44400347532754536
feature_min_neighbor_brlen	14358.442791342735	0.5966524323633297	0.5966524323633297
feature_mean_parsimony_trees_binary	21352.545550584793	0.7299170393999297	0.7299170393999297
feature_aLRT_iqtree_support	22316.049691200256	0.4596343648747231	0.4596343648747231
feature_partition_branch	60448.6784440279	0.787475829018332	0.787475829018332
feature_partition_branch_vs_mean	80690.32751274109	0.7874809615969272	0.7874809615969272
