	Gini-importance	mcc	balanced_accuracy
feature_msa_entropy_median	0.0	-0.003809508718899511	0.49869354236655467
feature_max_ll_diff_norm	0.0	0.6713925623695014	0.8545477168097548
feature_msa_entropy_min	0.0	0.0	0.5
feature_msa_entropy_pct_25	0.07909700279147298	-0.035589427905793995	0.49707602339181284
feature_column_variance	2.4452592024465427	0.5250239845403238	0.7540126913027249
feature_msa_entropy_mean	6.302447724125816	-0.003809508718899511	0.49869354236655467
feature_msa_n_seq	6.94578548757867	0.12189241440435986	0.5375139977603584
feature_msa_entropy_pct_75	9.231977781250666	0.1349833031477109	0.5308572850566131
feature_min_ll_diff_norm	9.356929041264168	0.6713925623695014	0.8545477168097548
feature_msa_entropy_max	10.968266190278301	0.13872825940154287	0.5452283190245116
feature_msa_pypythia_msa_difficulty	11.996950125201577	0.23170105436400867	0.5848575339056862
feature_msa_n_unique_sites	12.231195633409715	0.14150533932404924	0.5566753763842229
feature_msa_constant_sites_pct	12.449812945898765	-0.0008348989322037525	0.49975115092696276
feature_partition_size_ratio	12.564416446029275	0.035736819886819225	0.5122558168470822
feature_mean_parsimony_trees_neighbors_binary	12.663842786427345	0.43722108725591674	0.6633072041806645
feature_column_variance_norm	12.921398802921338	0.6226296703973473	0.8226328231927336
feature_msa_n_loci	14.062415659619818	0.08589022511431602	0.5287420679357969
feature_mean_parsimony_trees_neighbors	18.264821188918162	0.3940583274321321	0.6939156401642403
feature_divergence_ratio	19.853411243877265	0.5639824957970172	0.7146323254945874
feature_partition_branch	20.554363281486843	0.8497345440209634	0.9215503297250218
feature_partition_divergence	23.897864322894492	0.5639824957970172	0.7146323254945874
feature_mean_parsimony_trees	34.960949400315364	0.7620895016124933	0.8654348637551326
feature_msa_entropy_var	42.18096899245926	0.1520406751542537	0.5662560656961553
feature_min_neighbor_brlen	48.46844902350967	0.4817508702229968	0.7125171083737712
feature_max_ll_diff	51.17544703311634	0.576495041613185	0.8080129401517979
feature_partition_size	55.800856725433576	0.0	0.5
feature_mean_neighbor_brlen	79.07045774769065	0.3471630598635015	0.6601343784994401
feature_min_ll_diff	409.4775481753088	0.6200279094140526	0.8274231678486997
feature_mean_parsimony_trees_binary	550.6296766242054	0.7905945957961661	0.9069304466840862
feature_partition_branch_vs_mean	1247.103859654076	0.8101281572726141	0.9050640786363071
