	Gini-importance	mcc	balanced_accuracy
feature_msa_entropy_median	0.0	0.16141596433093366	0.16141596433093366
feature_max_ll_diff_norm	0.0	0.655385605268517	0.655385605268517
feature_msa_entropy_min	68.7500991821289	0.0	0.0
feature_msa_entropy_pct_25	513.3700847625732	0.014544054696365905	0.014544054696365905
feature_column_variance_norm	610.3378472328186	0.6563778618248987	0.6563778618248987
feature_msa_entropy_mean	815.9627556800842	0.16141596433093366	0.16141596433093366
feature_msa_entropy_pct_75	894.4154870510101	0.07877156496978081	0.07877156496978081
feature_msa_entropy_max	1171.6789569854736	0.14786851030180667	0.14786851030180667
feature_partition_size	1223.523155450821	-0.003845509291606621	-0.003845509291606621
feature_mean_parsimony_trees_neighbors	1491.6268844604492	0.4800894590463095	0.4800894590463095
feature_min_ll_diff_norm	1567.303186416626	0.655385605268517	0.655385605268517
feature_msa_n_seq	1689.1722354888916	0.03972494512177595	0.03972494512177595
feature_partition_size_ratio	1751.6466903686523	0.0	0.0
feature_msa_constant_sites_pct	1809.8692688941956	0.05365943444395222	0.05365943444395222
feature_column_variance	1816.6309161186218	0.6597962659452379	0.6597962659452379
feature_msa_n_loci	1903.279637336731	0.0007205018651243237	0.0007205018651243237
feature_msa_entropy_var	1946.120035648346	0.15372850311881495	0.15372850311881495
feature_mean_parsimony_trees	2794.555421113968	0.6726751034772284	0.6726751034772284
feature_msa_n_unique_sites	3051.2106709480286	0.13727710951315666	0.13727710951315666
feature_msa_pypythia_msa_difficulty	3979.9173667430878	0.31167885564705544	0.31167885564705544
feature_mean_neighbor_brlen	6347.939709186554	0.5633073923243542	0.5633073923243542
feature_divergence_ratio	7042.482258319855	0.6024555510467183	0.6024555510467183
feature_max_ll_diff	17537.57862138748	0.6643517040833332	0.6643517040833332
feature_partition_divergence	17803.378034353256	0.6024555510467183	0.6024555510467183
feature_mean_parsimony_trees_neighbors_binary	18677.698356628418	0.4667718665753877	0.4667718665753877
feature_partition_branch	24047.083387851715	0.7939027110024011	0.7939027110024011
feature_min_neighbor_brlen	55001.36784243584	0.6024555510467183	0.6024555510467183
feature_min_ll_diff	65968.6034655571	0.6659606187384078	0.6659606187384078
feature_mean_parsimony_trees_binary	130412.76184558868	0.7358549723844388	0.7358549723844388
feature_partition_branch_vs_mean	525784.4674062729	0.7905913067092495	0.7905913067092495
