	balanced_accuracy_score	accuracy_score	precision	recall	mcc	AUC	logloss	average_precision	dataset	name	metric_type	analysis_type	sample_frac
0	0.867948717948718	0.9004739336492891	0.9299363057324841	0.9358974358974359	0.7403110427330525	0.9705128205128205	0.3083068428822464	0.990296037702056	test	model_standard	all_data	standard	0.5
1	0.8988439306358381	0.8988439306358381	0.7109826589595376	0.7225433526011561	0.03468208092485549				test	model_standard	per_tree_average	standard	0.5
2	1.0	1.0	1.0	1.0	1.0	1.0	0.003469330426081595	0.9999999999999999	train	model_standard	all_data	standard	0.5
3	1.0	1.0	0.815	0.815	0.07				train	model_standard	per_tree_average	standard	0.5
4	0.5	0.74	0.74	1.0	0.0	0.8712967775467775	1.0508776106997804	0.9219278018927672	val	model_standard	all_data	standard	0.5
5	0.6571428571428571	0.7187306177531742	0.7187306177531742	0.9142857142857143	0.0				val	model_standard	per_tree_average	standard	0.5
0	0.886130536130536	0.909952606635071	0.9419354838709677	0.9358974358974359	0.7677996769152633	0.9698135198135198	0.295482264675254	0.9900132970575396	test	model_standard	all_data	standard	1.0
1	0.9046242774566474	0.9046242774566474	0.7138728323699421	0.7225433526011561	0.04046242774566474				test	model_standard	per_tree_average	standard	1.0
2	1.0	1.0	1.0	1.0	1.0	1.0	0.0028007587083361206	1.0	train	model_standard	all_data	standard	1.0
3	1.0	1.0	0.8035264483627204	0.8035264483627204	0.07052896725440806				train	model_standard	per_tree_average	standard	1.0
4	0.5961538461538461	0.79	0.7789473684210526	1.0	0.3870369114828745	0.9026767151767152	0.6054498097467821	0.9636589460261771	val	model_standard	all_data	standard	1.0
5	0.7208333333333332	0.7775741551681401	0.7366217742157591	0.9142857142857143	0.07127917603141375				val	model_standard	per_tree_average	standard	1.0
