	Unnamed: 0.8	Unnamed: 0.7	Unnamed: 0.6	Unnamed: 0.5	Unnamed: 0.4	Unnamed: 0.3	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	AUC	logloss	average_precision	balanced_accuracy	accuracy_score	precision	recall	mcc	dataset	sample_fraction
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9763268261084834	0.1640185668256437	0.9930340498523912	0.9057193942290732	0.926875	0.9589470997192066	0.9452223077378484	0.7986320390387239	test	0.3
1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.976929676944684	0.1621197040912378	0.9932088288721056	0.9077783671824222	0.9273636363636364	0.960382924920224	0.944349061630454	0.8006512795514406	test	0.7
2	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0		0.9769984619035994	0.1619997845425316	0.9932156696975958	0.9080473494410566	0.9271477272727272	0.9607045457969836	0.9437126280267598	0.8003413302108405	test	1.0
3	3.0	3.0	3.0	3.0	3.0	3.0	0.0			0.9763268261084834	0.1640185668256437	0.9930340498523912	0.9057193942290732	0.926875	0.9589470997192066	0.9452223077378484	0.7986320390387239	test	0.3
4	4.0	4.0	4.0	4.0	4.0	0.0				0.976929676944684	0.1621197040912378	0.9932088288721056	0.9077783671824222	0.9273636363636364	0.960382924920224	0.944349061630454	0.8006512795514406	test	0.7
5	5.0	5.0	5.0	5.0	0.0					0.9769984619035994	0.1619997845425316	0.9932156696975958	0.9080473494410566	0.9271477272727272	0.9607045457969836	0.9437126280267598	0.8003413302108405	test	1.0
6	6.0	6.0	6.0	0.0						0.9769984619035994	0.1619997845425316	0.9932156696975958	0.9080473494410566	0.9271477272727272	0.9607045457969836	0.9437126280267598	0.8003413302108405	test	-1.0
7	7.0	7.0	0.0							0.9763268261084834	0.1640185668256437	0.9930340498523912	0.9057193942290732	0.926875	0.9589470997192066	0.9452223077378484	0.7986320390387239	test	0.3
8	8.0	0.0								0.976929676944684	0.1621197040912378	0.9932088288721056	0.9077783671824222	0.9273636363636364	0.960382924920224	0.944349061630454	0.8006512795514406	test	0.7
9	0.0									0.9769984619035994	0.1619997845425316	0.9932156696975958	0.9080473494410566	0.9271477272727272	0.9607045457969836	0.9437126280267598	0.8003413302108405	test	1.0
0										0.9769984619035994	0.16199978454253164	0.9932156696975958	0.9080473494410566	0.9271477272727273	0.9607045457969835	0.9437126280267598	0.8003413302108405	test	-1.0
