	balanced_accuracy_score	accuracy_score	precision	recall	mcc	AUC	logloss	average_precision	dataset	name	metric_type	analysis_type	sample_frac
0	0.886130536130536	0.909952606635071	0.9419354838709677	0.9358974358974359	0.7677996769152633	0.9698135198135198	0.295482264675254	0.9900132970575396	test	model_standard	all_data	standard	-1
1	0.9046242774566474	0.9046242774566474	0.7138728323699421	0.7225433526011561	0.04046242774566474				test	model_standard	per_tree_average	standard	-1
2	1.0	1.0	1.0	1.0	1.0	1.0	0.0028007587083361206	1.0	train	model_standard	all_data	standard	-1
3	1.0	1.0	0.8035264483627204	0.8035264483627204	0.07052896725440806				train	model_standard	per_tree_average	standard	-1
4	0.5961538461538461	0.79	0.7789473684210526	1.0	0.3870369114828745	0.9026767151767152	0.6054498097467821	0.9636589460261771	val	model_standard	all_data	standard	-1
5	0.7208333333333332	0.7775741551681401	0.7366217742157591	0.9142857142857143	0.07127917603141375				val	model_standard	per_tree_average	standard	-1
0	0.5636363636363636	0.7725118483412322	0.7647058823529411	1.0	0.3119714781972162	0.9856060606060606	0.1474454605942476	0.9951351567759994	test	raw_only_boot	all_data	bootstrap_support	-1
1	0.7774566473988439	0.7774566473988439	0.7456647398843931	0.7803468208092486	0.0				test	raw_only_boot	per_tree_average	bootstrap_support	-1
2	0.6068376068376068	0.8103092783505155	0.8	1.0	0.4134491152973615	0.9629319955406913	0.19954173359631108	0.9875665406633505	train	raw_only_boot	all_data	bootstrap_support	-1
3	0.8142317380352645	0.8148614609571788	0.7728799328295549	0.8035264483627204	0.008816120906801008				train	raw_only_boot	per_tree_average	bootstrap_support	-1
0	0.8599067599067599	0.9146919431279621	0.9156626506024096	0.9743589743589743	0.7714421115731716	0.9735431235431236	0.19478194709555569	0.9906884665663399	test	only_boot	all_data	bootstrap_support	-1
1	0.9142581888246628	0.9142581888246628	0.7456647398843931	0.7572254335260116	0.04046242774566474				test	only_boot	per_tree_average	bootstrap_support	-1
2	0.869472315124489	0.9257731958762887	0.9278350515463918	0.9782608695652174	0.7903637403538617	0.9777034559643255	0.15307799125766366	0.9924296652528972	train	only_boot	all_data	bootstrap_support	-1
3	0.9319899244332494	0.9326196473551638	0.781696053736356	0.7871536523929471	0.048053779015591				train	only_boot	per_tree_average	bootstrap_support	-1
0	0.8647435897435898	0.8957345971563981	0.9294871794871795	0.9294871794871795	0.7294871794871794	0.9712121212121212	0.289400496148741	0.9904081285636536	test	inc_boot	all_data	bootstrap_support	-1
1	0.8940269749518304	0.8940269749518304	0.7138728323699421	0.7196531791907514	0.04046242774566474				test	inc_boot	per_tree_average	bootstrap_support	-1
2	1.0	1.0	1.0	1.0	1.0	1.0	0.002748296996112583	1.0	train	inc_boot	all_data	bootstrap_support	-1
3	1.0	1.0	0.8035264483627204	0.8035264483627204	0.07052896725440806				train	inc_boot	per_tree_average	bootstrap_support	-1
