	grouping_col	Balanced_Accuracy	grouping_col_name	dataset	name	sample_frac
0	(0.011300000000000001, 0.346]	0.49	msa_difficulty_group	test	model_standard	-1
1	(0.346, 0.549]	0.8571428571428572	msa_difficulty_group	test	model_standard	-1
2	(0.549, 0.587]	0.858974358974359	msa_difficulty_group	test	model_standard	-1
3	(0.587, 0.882]	0.8735119047619048	msa_difficulty_group	test	model_standard	-1
0	(12.999, 66.0]	0.8421474358974359	n_seq_group	test	model_standard	-1
1	(66.0, 113.0]	0.9117647058823529	n_seq_group	test	model_standard	-1
2	(113.0, 165.0]	0.9	n_seq_group	test	model_standard	-1
3	(165.0, 410.0]	0.8959627329192547	n_seq_group	test	model_standard	-1
0	(106.999, 774.5]	0.791304347826087	feature_msa_n_loci	test	model_standard	-1
1	(774.5, 1380.0]	0.9552364864864865	feature_msa_n_loci	test	model_standard	-1
2	(1380.0, 2439.0]	0.9217171717171717	feature_msa_n_loci	test	model_standard	-1
3	(2439.0, 8888.0]	0.846031746031746	feature_msa_n_loci	test	model_standard	-1
0	(0.0195, 0.473]	1.0	msa_difficulty_group	train	model_standard	-1
1	(0.473, 0.553]	1.0	msa_difficulty_group	train	model_standard	-1
2	(0.553, 0.611]	1.0	msa_difficulty_group	train	model_standard	-1
3	(0.611, 0.872]	1.0	msa_difficulty_group	train	model_standard	-1
0	(13.999, 66.0]	1.0	n_seq_group	train	model_standard	-1
1	(66.0, 114.0]	1.0	n_seq_group	train	model_standard	-1
2	(114.0, 177.0]	1.0	n_seq_group	train	model_standard	-1
3	(177.0, 494.0]	1.0	n_seq_group	train	model_standard	-1
0	(96.999, 652.0]	1.0	feature_msa_n_loci	train	model_standard	-1
1	(652.0, 1118.0]	1.0	feature_msa_n_loci	train	model_standard	-1
2	(1118.0, 2138.0]	1.0	feature_msa_n_loci	train	model_standard	-1
3	(2138.0, 8978.0]	1.0	feature_msa_n_loci	train	model_standard	-1
0	(0.0481, 0.385]	0.5769230769230769	msa_difficulty_group	val	model_standard	-1
1	(0.385, 0.537]	0.5	msa_difficulty_group	val	model_standard	-1
2	(0.537, 0.601]	0.6428571428571428	msa_difficulty_group	val	model_standard	-1
3	(0.601, 0.715]	0.5666666666666667	msa_difficulty_group	val	model_standard	-1
0	(21.999, 83.0]	0.5588235294117647	n_seq_group	val	model_standard	-1
1	(83.0, 174.0]	0.59375	n_seq_group	val	model_standard	-1
2	(174.0, 278.0]	0.5	n_seq_group	val	model_standard	-1
3	(278.0, 302.0]	0.6666666666666666	n_seq_group	val	model_standard	-1
0	(69.999, 723.0]	0.6428571428571428	feature_msa_n_loci	val	model_standard	-1
1	(723.0, 960.0]	0.5454545454545454	feature_msa_n_loci	val	model_standard	-1
2	(960.0, 1555.0]	0.625	feature_msa_n_loci	val	model_standard	-1
3	(1555.0, 6910.0]	0.5	feature_msa_n_loci	val	model_standard	-1
