	Gini-importance	mcc	balanced_accuracy
feature_msa_entropy_min	0.0	0.0	0.0
feature_msa_entropy_median	0.0	0.19318722962826945	0.19318722962826945
feature_msa_entropy_pct_25	180.163893699646	-0.0058859786086041845	-0.0058859786086041845
feature_msa_entropy_pct_75	319.96606850624084	-0.02333054691198215	-0.02333054691198215
feature_min_neighbor_brlen	346.0424790382385	0.0	0.0
feature_msa_entropy_mean	399.803661942482	0.19318722962826945	0.19318722962826945
feature_mean_all_ML_boot_raxml_binary	401.85633087158203	0.7824876754528649	0.7824876754528649
feature_partition_size	433.1801383495331	0.0035425817560141566	0.0035425817560141566
feature_mean_all_ML_boot_raxml	433.18720054626465	0.7810569982064591	0.7810569982064591
feature_msa_constant_sites_pct	460.0874619483948	0.08475229490177012	0.08475229490177012
feature_msa_entropy_max	588.6050931215286	0.1491755351521874	0.1491755351521874
feature_msa_entropy_var	637.963525891304	0.17642012161823983	0.17642012161823983
feature_mean_all_ML_boot_raxml_neighbors	745.2609119415283	0.5835394194595713	0.5835394194595713
feature_mean_parsimony_trees_neighbors	817.9459688663483	0.44872323535005765	0.44872323535005765
feature_msa_n_seq	818.8783211708069	0.05882160210907667	0.05882160210907667
feature_partition_divergence	915.0896406173706	0.2550378836710302	0.2550378836710302
feature_partition_size_ratio	940.6870704889297	0.0	0.0
feature_msa_n_loci	971.3357546329498	0.06341736725805794	0.06341736725805794
feature_mean_all_ML_boot_raxml_neighbors_binary	978.9532998800278	0.6184717233784683	0.6184717233784683
feature_msa_n_unique_sites	1001.9023869037628	0.08627891266205384	0.08627891266205384
feature_mean_parsimony_trees	1052.1256980895996	0.649746918711481	0.649746918711481
feature_msa_pypythia_msa_difficulty	1107.916219830513	0.373495726775324	0.373495726775324
feature_divergence_ratio	1252.3539062738419	0.2241399505311413	0.2241399505311413
feature_mean_parsimony_trees_neighbors_binary	1273.8624515533447	0.501473808871687	0.501473808871687
feature_mean_neighbor_brlen	2369.451484441757	0.5698749749699411	0.5698749749699411
feature_mean_parsimony_trees_binary	3213.510353088379	0.7346750037751436	0.7346750037751436
feature_partition_branch	34686.666902303696	0.7899518368565033	0.7899518368565033
bootstrap_support	63050.21700799465	0.7871090766064559	0.7871090766064559
feature_partition_branch_vs_mean	64385.21770167351	0.788775113256944	0.788775113256944
