	Gini-importance	mcc	balanced_accuracy
feature_msa_entropy_min	0.0	0.0	0.5
feature_msa_entropy_median	0.0	0.21383902827324178	0.5625874125874126
feature_max_ll_diff_norm	0.0	0.5798127164721262	0.8022144522144522
feature_mean_all_ML_boot_raxml_neighbors	1.324589424635847	0.5238267733110081	0.7315850815850815
feature_mean_all_ML_boot_raxml_neighbors_binary	2.765155597590649	0.5769388562284444	0.7326340326340326
feature_partition_size_ratio	6.742915227624524	-0.026742025882430263	0.4914918414918415
feature_mean_all_ML_boot_raxml	9.748637773096561	0.7983996103698718	0.8839743589743589
feature_min_neighbor_brlen	12.648866412899284	0.0	0.5
feature_msa_entropy_pct_25	12.936703478583091	0.0	0.5
feature_mean_parsimony_trees_neighbors	13.109092461694928	0.5013952101193294	0.7048368298368298
feature_column_variance_norm	15.300450803906509	0.5590505452610859	0.7872377622377622
feature_min_ll_diff_norm	16.216266275611446	0.5798127164721262	0.8022144522144522
feature_msa_entropy_mean	16.467686554363883	0.21383902827324178	0.5625874125874126
feature_partition_size	17.25726278463134	0.1647490083571854	0.5181818181818182
feature_msa_constant_sites_pct	17.938751483597752	-0.005964897140065006	0.4984265734265734
feature_msa_entropy_pct_75	19.376586199464647	0.23534438901238547	0.5802447552447553
feature_mean_neighbor_brlen	19.649746350475628	0.4444932560825517	0.6861305361305361
feature_mean_all_ML_boot_raxml_binary	19.994797052882404	0.7594549587720218	0.8390442890442891
feature_msa_n_unique_sites	21.36449441655453	0.2208863592571614	0.5684731934731935
feature_partition_branch_vs_mean	22.896250618134943	0.760614488738607	0.8888111888111888
feature_partition_divergence	25.93753546025167	0.2165788169204043	0.5797202797202797
feature_divergence_ratio	26.191300026440487	0.3238429182673786	0.608041958041958
feature_msa_n_loci	27.19053551774209	-0.006957954105640699	0.49790209790209794
feature_msa_entropy_var	27.241660452607746	0.25013109976207454	0.5834498834498835
feature_msa_entropy_max	31.24255854091	0.21325597349712994	0.5824009324009324
feature_msa_n_seq	39.53170957779478	0.16321996478346268	0.5556526806526807
feature_column_variance	44.92339017271834	0.5427275542338224	0.761013986013986
feature_mean_parsimony_trees	46.822035841001224	0.6020262749878414	0.7973776223776223
feature_mean_parsimony_trees_neighbors_binary	48.633736643689645	0.4444932560825517	0.6861305361305361
feature_msa_pypythia_msa_difficulty	57.93278246842221	0.2499838829804959	0.5920163170163171
feature_max_ll_diff	68.69322643116647	0.7071834630424565	0.8668997668997669
feature_min_ll_diff	343.3420135876556	0.5966496432895699	0.8000582750582751
bootstrap_support	440.58867476878345	0.7714421115731716	0.8599067599067599
feature_partition_branch	658.651875495455	0.7685369481352479	0.9005827505827506
feature_mean_parsimony_trees_binary	672.4712099229179	0.7405971476941157	0.8824009324009323
