	Gini-importance	mcc	balanced_accuracy
feature_max_ll_diff_norm	0.0	0.5798127164721262	0.8022144522144522
feature_msa_entropy_min	0.0	0.0	0.5
feature_msa_entropy_median	0.0	0.21383902827324178	0.5625874125874126
feature_mean_all_ML_boot_raxml_neighbors	1.4044871296793389	0.5238267733110081	0.7315850815850815
feature_mean_all_ML_boot_raxml	3.667517952620983	0.7983996103698718	0.8839743589743589
feature_mean_all_ML_boot_raxml_neighbors_binary	5.319528717636786	0.5769388562284444	0.7326340326340326
feature_msa_entropy_mean	6.956991205726007	0.21383902827324178	0.5625874125874126
feature_partition_size_ratio	6.9639525931145405	-0.026742025882430263	0.4914918414918415
feature_msa_entropy_pct_25	9.148638771322565	0.0	0.5
feature_msa_entropy_max	11.939391758389807	0.21325597349712994	0.5824009324009324
feature_msa_entropy_var	12.201868310822563	0.25013109976207454	0.5834498834498835
feature_mean_parsimony_trees_neighbors	15.142976782459533	0.5013952101193294	0.7048368298368298
feature_msa_n_unique_sites	15.31332967263139	0.2208863592571614	0.5684731934731935
feature_column_variance_norm	15.714565528375093	0.5590505452610859	0.7872377622377622
feature_column_variance	18.65378360358189	0.5427275542338224	0.761013986013986
feature_partition_branch_vs_mean	19.60579086648016	0.760614488738607	0.8888111888111888
feature_min_ll_diff_norm	20.263766891918177	0.5798127164721262	0.8022144522144522
feature_partition_size	21.29707261128795	0.1647490083571854	0.5181818181818182
feature_min_neighbor_brlen	21.45781071373878	0.0	0.5
feature_partition_divergence	23.210810822461816	0.2165788169204043	0.5797202797202797
feature_msa_constant_sites_pct	28.191125881679202	-0.005964897140065006	0.4984265734265734
feature_divergence_ratio	30.508689976264726	0.3238429182673786	0.608041958041958
feature_msa_n_loci	33.168890258495146	-0.006957954105640699	0.49790209790209794
feature_msa_entropy_pct_75	37.34410619837485	0.23534438901238547	0.5802447552447553
feature_msa_n_seq	38.582285646186264	0.16321996478346268	0.5556526806526807
feature_mean_neighbor_brlen	50.449588036493026	0.4444932560825517	0.6861305361305361
feature_max_ll_diff	58.571165044593464	0.7071834630424565	0.8668997668997669
feature_mean_parsimony_trees_neighbors_binary	63.350708775033524	0.4444932560825517	0.6861305361305361
feature_mean_all_ML_boot_raxml_binary	75.52635114503175	0.7594549587720218	0.8390442890442891
feature_msa_pypythia_msa_difficulty	86.64621231112106	0.2499838829804959	0.5920163170163171
feature_mean_parsimony_trees	123.80245929306034	0.6020262749878414	0.7973776223776223
feature_min_ll_diff	552.1707213296704	0.5966496432895699	0.8000582750582751
feature_mean_parsimony_trees_binary	552.8010136025504	0.7405971476941157	0.8824009324009323
feature_partition_branch	845.4550652496873	0.7685369481352479	0.9005827505827506
