	Gini-importance	mcc	balanced_accuracy
feature_msa_entropy_median	0.0	0.19318722962826945	0.19318722962826945
feature_msa_entropy_min	5.950829982757568	0.0	0.0
feature_msa_entropy_pct_25	132.5637481212616	-0.0058859786086041845	-0.0058859786086041845
feature_msa_entropy_pct_75	332.090518951416	-0.02333054691198215	-0.02333054691198215
feature_min_neighbor_brlen	389.88286995887756	0.0	0.0
feature_partition_size	424.1338288784027	0.0035425817560141566	0.0035425817560141566
feature_msa_entropy_mean	439.5723019838333	0.19318722962826945	0.19318722962826945
feature_msa_entropy_var	493.2906892299652	0.17642012161823983	0.17642012161823983
feature_msa_constant_sites_pct	550.2242792844772	0.08475229490177012	0.08475229490177012
feature_msa_entropy_max	575.7991341352463	0.1491755351521874	0.1491755351521874
feature_mean_parsimony_trees_neighbors	695.7475764751434	0.44872323535005765	0.44872323535005765
feature_msa_n_seq	819.8563997745514	0.05882160210907667	0.05882160210907667
feature_partition_size_ratio	1009.6492278575897	0.0	0.0
feature_msa_pypythia_msa_difficulty	1234.054566502571	0.373495726775324	0.373495726775324
feature_partition_divergence	1239.4774930477142	0.2550378836710302	0.2550378836710302
feature_mean_all_ML_boot_raxml_neighbors	1268.334726691246	0.5835394194595713	0.5835394194595713
feature_divergence_ratio	1978.385292649269	0.2241399505311413	0.2241399505311413
feature_mean_parsimony_trees_neighbors_binary	2029.0645725727081	0.501473808871687	0.501473808871687
feature_mean_all_ML_boot_raxml	2098.8327372074127	0.7810569982064591	0.7810569982064591
feature_msa_n_loci	2138.8194241523743	0.06341736725805794	0.06341736725805794
feature_msa_n_unique_sites	2355.387878894806	0.08627891266205384	0.08627891266205384
feature_mean_neighbor_brlen	3491.040192961693	0.5698749749699411	0.5698749749699411
feature_mean_all_ML_boot_raxml_neighbors_binary	3976.3371539115906	0.6184717233784683	0.6184717233784683
feature_mean_parsimony_trees	3988.7444533109665	0.649746918711481	0.649746918711481
feature_mean_all_ML_boot_raxml_binary	5645.095777869225	0.7824876754528649	0.7824876754528649
feature_mean_parsimony_trees_binary	30619.665083169937	0.7346750037751436	0.7346750037751436
feature_partition_branch	49958.57068490982	0.7899518368565033	0.7899518368565033
feature_partition_branch_vs_mean	63876.70402252674	0.788775113256944	0.788775113256944
