	Gini-importance	mcc	balanced_accuracy
feature_max_ll_diff_norm	0.0	0.6379551257477284	0.6379551257477284
feature_msa_entropy_median	0.0	0.17930971438736465	0.17930971438736465
feature_msa_entropy_min	33.1712703704834	-0.014682359979945868	-0.014682359979945868
feature_msa_entropy_pct_25	374.53246879577637	-0.0035535149799417387	-0.0035535149799417387
feature_msa_entropy_mean	468.550820350647	0.17930971438736465	0.17930971438736465
feature_msa_entropy_pct_75	543.2308177947998	0.11611789897358511	0.11611789897358511
feature_column_variance	623.0300090312958	0.6402147484138845	0.6402147484138845
feature_msa_constant_sites_pct	684.6277484893799	0.041224487666909324	0.041224487666909324
feature_mean_parsimony_trees_neighbors	752.7853317260742	0.42809071995037645	0.42809071995037645
feature_partition_size	949.4403591156006	0.011514758202538514	0.011514758202538514
feature_msa_entropy_var	1065.9339640140533	0.12838477310071236	0.12838477310071236
feature_msa_n_loci	1228.7541625499725	0.017334416681341527	0.017334416681341527
feature_msa_entropy_max	1238.0473248958588	0.12490709751743115	0.12490709751743115
feature_partition_size_ratio	1526.663234949112	0.0	0.0
feature_min_ll_diff_norm	1558.1294832229614	0.6379551257477284	0.6379551257477284
feature_mean_all_ML_boot_raxml_neighbors	1800.0772738456726	0.5450067478086004	0.5450067478086004
feature_msa_n_seq	1844.1079905033112	0.00951024264226733	0.00951024264226733
feature_mean_parsimony_trees	1986.6434507369995	0.6275253214250771	0.6275253214250771
feature_column_variance_norm	2001.709537267685	0.6367759797166384	0.6367759797166384
feature_msa_n_unique_sites	2176.9651896953583	0.11341906880116011	0.11341906880116011
feature_msa_pypythia_msa_difficulty	2269.4992945194244	0.28713645758689454	0.28713645758689454
feature_min_neighbor_brlen	2596.9563195705414	0.0	0.0
feature_divergence_ratio	3322.3331604003906	0.17049329661673104	0.17049329661673104
feature_mean_neighbor_brlen	3767.3055675029755	0.5241590342658449	0.5241590342658449
feature_mean_all_ML_boot_raxml	5056.090041637421	0.7387027653037916	0.7387027653037916
feature_mean_parsimony_trees_neighbors_binary	7411.5858952999115	0.45765388843019783	0.45765388843019783
feature_partition_divergence	15022.49723124504	0.22738040346438582	0.22738040346438582
feature_mean_all_ML_boot_raxml_neighbors_binary	21964.054575920105	0.5741891945616141	0.5741891945616141
feature_mean_all_ML_boot_raxml_binary	29386.621307373047	0.739093823261996	0.739093823261996
feature_max_ll_diff	32576.187860012054	0.6463905991446061	0.6463905991446061
feature_min_ll_diff	51879.830815792084	0.6467001726155727	0.6467001726155727
feature_mean_parsimony_trees_binary	125893.44975280762	0.710232692094221	0.710232692094221
feature_partition_branch_vs_mean	223865.11883568764	0.7588215584425946	0.7588215584425946
feature_partition_branch	284259.5379309654	0.7729554875203725	0.7729554875203725
