	Gini-importance	AUC	AUPRC	mcc
feature_msa_entropy_min	0.0	0.5	0.7253370815763445	0.0
feature_msa_entropy_median	0.0	0.6480768096446837	0.7950248753742597	0.0634998170484144
feature_msa_entropy_pct_25	29.9821298122406	0.5413427424552691	0.7366994866638256	0.0
feature_msa_entropy_mean	401.82940995693207	0.6480768096446837	0.7950248753742597	0.0634998170484144
feature_msa_entropy_pct_75	409.02189230918884	0.6585142902290921	0.7983491077430783	0.12451184721058207
feature_msa_entropy_max	584.5950980186462	0.7050125745288007	0.8483432096082334	0.25696261917285945
feature_msa_constant_sites_pct	601.924166560173	0.5884288474785129	0.765463506148762	0.09351383647163226
feature_msa_entropy_var	650.7350790500641	0.6883258717243528	0.8499433989879484	0.17912777257691395
feature_msa_n_seq	676.6086500883102	0.5070427074181014	0.7357798498398728	0.08728158798919819
feature_ML_vs_pars	932.7793387174606	0.9591783123033242	0.9782927871187157	0.7750393096763131
partition_size	1146.2491751909256	0.5645697755210725	0.7612222509568823	0.02398190708731118
ML_support_mean	1166.2632929086685	0.9058143224911465	0.9360720382503922	0.8079681372489222
feature_msa_pypythia_msa_difficulty	1429.5322020053864	0.7981234057041205	0.8877795775581724	0.49454302731840544
feature_msa_n_unique_sites	1477.2119362354279	0.6764448220110245	0.8385309577500946	0.08540515894566841
partition_size_ratio	1904.768956065178	0.4990334715140317	0.7164458744079703	0.06779836406354536
divergence_ratio	2307.762647151947	0.6333833184774074	0.7945806995610967	0.20700651389304356
feature_msa_n_loci	2794.3318564891815	0.5517768017600967	0.7577727607000971	-0.023378328986752368
pars_support_mean	3453.6075143814087	0.9435837866880203	0.9763787322047156	0.707541852416864
partition_divergence	4029.1993016004562	0.7202553681168956	0.8553771400394667	0.28917030861699833
ML_bi_support_mean	11744.88457930088	0.9075550260107031	0.9364051178379323	0.8081365505901158
pars_bi_support_mean	19084.430231928825	0.9622155311455608	0.9825511577769558	0.7750705762613144
partition_branch	78148.92564463615	0.9427501235605663	0.9662702427484045	0.8269024782989166
partition_branch_vs_mean	80726.07386755943	0.9538664798779516	0.9804557033415169	0.7900997182150663
